Name,Latitude,Longitude,Type,M,S,E,T,Building ID
Parkfield - Co (Pf99),,,Energy Consumer,-33.239452718602436,1e-08,23516064000000.0,1e-08,1050.0
Building 1,,,Energy Consumer,-1.13640386844348,1e-08,835560000000.0,1e-08,1055.0
Building 2,,,Energy Consumer,-1.2758061492547201,1e-08,976536000000.0,1e-08,1056.0
Building 3,,,Energy Consumer,-1.16391486523572,1e-08,871992000000.0,1e-08,1057.0
Building 7,,,Energy Consumer,-1.070688886353,1e-08,755568000000.0,1e-08,1058.0
Building 8,,,Energy Consumer,-1.31501961175104,1e-08,964656000000.0,1e-08,1059.0
Building 9,,,Energy Consumer,-1.29733192113372,1e-08,1044648000000.0,1e-08,1060.0
Building 10,,,Energy Consumer,-1.1898801000684,1e-08,831600000000.0,1e-08,1061.0
Building 11,,,Energy Consumer,-1.3533588551772002,1e-08,1028016000000.0,1e-08,1062.0
Building 12,,,Energy Consumer,-1.2909681422712,1e-08,930600000000.0,1e-08,1063.0
Walmart Neighborhood Market #3127,,,Energy Consumer,-9.828338579120881,1e-08,9069192000000.0,1e-08,1067.0
Sable Ridge Residences - Avanath,,,Energy Consumer,-3.2602855486291205,1e-08,2420352000000.0,1e-08,1069.0
4555 Airport Way,,,Energy Consumer,-5.07961698942996,1e-08,5064048000000.0,1e-08,1071.0
Towne Square Lofts Homeowners Association,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1115.0
Denver Airport Co Cy,,,Energy Consumer,-6.0611298333264,1e-08,5585976000000.0,1e-08,1117.0
Gateway Vii,,,Energy Consumer,-2.45145449882916,1e-08,1621224000000.0,1e-08,1118.0
Four Gateway Centre,,,Energy Consumer,-4.5548390863458,1e-08,3675672000000.0,1e-08,1119.0
Towneplace Suites - Dia/Gateway,,,Energy Consumer,-3.9100891228966796,1e-08,3133944000000.0,1e-08,1120.0
Raymond James & Associates,,,Energy Consumer,-20.5820779251078,1e-08,25685352000000.0,1e-08,1122.0
Hampton Inn Denver/Airport Gateway Park,,,Energy Consumer,-6.48521017028532,1e-08,5897232000000.0,1e-08,1123.0
Homewood Suites Dia,,,Energy Consumer,-6.228280181923201,1e-08,5137704000000.0,1e-08,1125.0
Nals Redstone-93 Lp,,,Energy Consumer,-29.401533829979282,1e-08,20604672000000.0,1e-08,1127.0
11333 E 55Th Ave,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1152.0
Ge Building,,,Energy Consumer,-2.1949173076669197,1e-08,1218096000000.0,1e-08,1153.0
Midway Ii 11440,,,Energy Consumer,-5.94589212395532,1e-08,3550536000000.0,1e-08,1154.0
Denver Business Center (11605-11685 E 55Th),,,Energy Consumer,-10.65057484885776,1e-08,6291648000000.0,1e-08,1155.0
Sp Richards,,,Energy Consumer,-2.9343389926874397,1e-08,2543112000000.0,1e-08,1156.0
Dbc Midway I,,,Energy Consumer,-5.946536868432479,1e-08,3987720000000.0,1e-08,1157.0
Denver Business Center 11685,,,Energy Consumer,-3.9773338301016,1e-08,2270664000000.0,1e-08,1158.0
Denver Business Center 11585,,,Energy Consumer,-5.349816517578841,1e-08,3149784000000.0,1e-08,1159.0
5401 Oswego,,,Energy Consumer,-4.162191704361,1e-08,2440944000000.0,1e-08,1160.0
11701 East 53Rd Avenue,,,Energy Consumer,-3.28534966047384,1e-08,2703096000000.0,1e-08,1161.0
"Cintas, Location 66",,,Energy Consumer,-33.946940402744396,1e-08,18255600000000.0,1e-08,1162.0
233968,,,Energy Consumer,-6.5235155464267205,1e-08,4841496000000.0,1e-08,1163.0
53Rd Ave Campus (11500/11600),,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1165.0
5301 Peoria Street,,,Energy Consumer,-1.8757628831613602,1e-08,2155824000000.0,1e-08,1166.0
Den00106 - Denver 1,,,Energy Consumer,-4.11764493580668,1e-08,2326104000000.0,1e-08,1167.0
Den00107,,,Energy Consumer,-3.16689677466732,1e-08,1839024000000.0,1e-08,1168.0
Premier Eurocase 56Th Ave,,,Energy Consumer,-12.91346611816032,1e-08,11204424000000.0,1e-08,1169.0
5501 Peoria Street,,,Energy Consumer,-4.18048204273704,1e-08,3050784000000.0,1e-08,1171.0
Lyk Havana 10500 E 54Th,,,Energy Consumer,-2.22869438517312,1e-08,1283832000000.0,1e-08,1176.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1178.0
Mountain View 5150,,,Energy Consumer,-3.21561037980828,1e-08,1897632000000.0,1e-08,1179.0
Mountain View 5160,,,Energy Consumer,-4.232727763015679,1e-08,2159784000000.0,1e-08,1180.0
Peterson Havana,,,Energy Consumer,-2.41295815762416,1e-08,1652112000000.0,1e-08,1181.0
,,,Energy Consumer,-12.63387153090456,1e-08,8469648000000.0,1e-08,1184.0
Inland Truck Parts And Service,,,Energy Consumer,-3.7428784251195606,1e-08,2600928000000.0,1e-08,1186.0
5475 Joliet,,,Energy Consumer,-3.25190914570404,1e-08,1703592000000.0,1e-08,1187.0
Jr Properties - Denver - 1189,,,Energy Consumer,-1.69395169295808,1e-08,875952000000.0,1e-08,1189.0
5175 Joliet,,,Energy Consumer,-4.879553126335559,1e-08,2966040000000.0,1e-08,1190.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1191.0
Denver Bus Ctr #5 (11175 E 55Th),,,Energy Consumer,-8.84392190569656,1e-08,6908616000000.0,1e-08,1192.0
Denver Warehouse,,,Energy Consumer,-0.5038691277200401,1e-08,398376000000.0,1e-08,1193.0
May Business Center,,,Energy Consumer,-1.7203368399195602,1e-08,1120680000000.0,1e-08,1194.0
Im000953 - 11333 E 53Rd Ave Denver,,,Energy Consumer,-6.1100007472573195,1e-08,3404016000000.0,1e-08,1195.0
"Midwest Airport Properties, Llc",,,Energy Consumer,-2.51547717173724,1e-08,1256112000000.0,1e-08,1197.0
